LON,LAT,DisplayNam
-122.422659,37.79852,2355 Polk St
-122.421808,37.797497,2242 Polk St
-122.420683,37.797458,2127 Larkin St
-122.422361,37.797548,2239 Polk St
-122.422373,37.797608,2249 Polk St
-122.422385,37.797669,1405 Green St
-122.422633,37.798013,1420 Green St
-122.422426,37.797992,2301 Polk St
-122.421951,37.79799,2302 Polk St
-122.422549,37.79822,2323 Polk St
-122.42258,37.798363,2345 Polk St
-122.421967,37.798067,2308 Polk St
-122.42195,37.798141,2314 Polk St
-122.421812,37.79808,1384 Green St
-122.421731,37.798112,1370 Green St
-122.421649,37.798143,1364 Green St
-122.422026,37.798473,2340 Polk St
-122.421838,37.798329,2330 Polk St
-122.421613,37.79763,1375 Green St
-122.42146,37.797643,1365 Green St
-122.421327,37.797683,1351 Green St
-122.421222,37.797686,1345 Green St
-122.421115,37.797693,1341 Green St
-122.421021,37.797705,1331 Green St
-122.42093,37.797744,1325 Green St
-122.420741,37.79752,2133 Larkin St
-122.420746,37.797613,2145 Larkin St
-122.420727,37.797792,2165 Larkin St
-122.42156,37.79818,1360 Green St
-122.42147,37.798208,1354 Green St
-122.421387,37.798219,1348 Green St
-122.421295,37.79823,1342 Green St
-122.421197,37.798243,1336 Green St
-122.42108,37.798212,1326 Green St
-122.420964,37.798227,1320 Green St
-122.420767,37.798143,2201 Larkin St
-122.420942,37.798423,2233 Larkin St
-122.420962,37.798522,2235 Larkin St
-122.420798,37.798296,2221 Larkin St
-122.422901,37.798977,1434 Union St
-122.422803,37.798926,1418 Union St
-122.422718,37.798937,1412 Union St
-122.422704,37.799101,2421 Polk St
-122.422717,37.799169,2433 Polk St
-122.42273,37.799237,2435 Polk St
-122.422745,37.799313,2445 Polk St
-122.422762,37.799396,2455 Polk St
-122.422783,37.799501,2459 Polk St
-122.422818,37.799788,1400 Filbert St
-122.422836,37.799873,2507 Polk St
-122.422856,37.799975,2515 Polk St
-122.422873,37.80006,2525 Polk St
-122.422916,37.800291,2545 Polk St
-122.422544,37.798959,2401 Polk St
-122.422038,37.79853,2348 Polk St
-122.422058,37.798632,1395 Union St
-122.421873,37.798586,1377 Union St
-122.42179,37.798608,1371 Union St
-122.421704,37.798618,1365 Union St
-122.422075,37.798928,2400 Polk St
-122.422089,37.798997,2406 Polk St
-122.422157,37.799332,2436 Polk St
